afg_dist,wheat_local_price_median,wheat_imported_price_median,local_rice_price_median,veg_oil_price_median,pulses_lentils_price_median,pulses_beans_price_median,pulses_split_peas_price_median,salt_price_median,sugar_price_median,tomatoes_price_median,potatoes_price_median,onions_price_median,eggs_price_median,cotton_cloth_price_median,toothbrush_adult_price_median,toothpaste_price_median,sanitary_pad_price_median,washing_detergent_price_median,soap_price_median,bleach_price_median,safe_water_price_median,jerrycan_price_median,firewood_price_median,kindling_price_median,fuel_gel_price_median,cooking_fuel_price_median
nili,NA,39,83.6666666666667,104.6875,65,125,60,27.5,52.5,18.5714285714286,30,30,7.5,60,35,60,55,60,70,76.6666666666667,25,NA,15.7142857142857,18.5714285714286,70,50
paghman,37,38,97.9591836734694,115.5,90,135,100,18,50,19.2857142857143,28.5714285714286,14.2857142857143,6,67,20,40,50,51,47.5,50,20,134.5,12.8571428571429,12.8571428571429,60,43
pul_e_alam,35,36.5,53.5,107.5,69,130,89,20,52.5,12.4285714285714,24.5,7.5,7,40,20,70,50,50,25.5,60,15,80,11.0714285714286,10.5,70,41
pul_e_khumri,34,36,42,114,70,120,50,15,55,20,18,14,7,NA,30,30,NA,45,20,49,13.3333333333333,NA,NA,NA,NA,NA
qarabagh,33,35,37,96,70,128,80,15,48,NA,NA,NA,NA,NA,30,40,NA,80,30,NA,NA,NA,NA,NA,NA,NA
qarghayi,32,33.6,54.6428571428571,109,45,117.5,100,18.5,50,20,20,10,6,60,25,42.5,NA,60,37.5,60,16.6666666666667,NA,NA,NA,NA,41.5
sabari,36.1702127659574,34.6,45.2,106.25,80,125,50,25,48.4,20,20,10,10,NA,75,70,NA,50,30,50,NA,NA,NA,NA,50,45
sancharak,33.6,37.5,45.7142857142857,100,50,120,50,15,52,25,25.3571428571429,17.5714285714286,9,160,30,30,50,50,20,50,13.3333333333333,80,7.25,8.8,75,40
sar_e_pul,58,40,45,100,60,120,40,15,50,40,25,27.5,7.5,60,25,50,45,50,30,50,2.5,45,10,17,70,55
shahr_e_buzorg,37.1428571428571,42.8571428571429,43.5714285714286,108,NA,100,NA,7.14285714285714,60,NA,20,17.1428571428571,8,NA,17.5,50,50,55,22.5,70,NA,NA,NA,NA,70,55
shahrestan,NA,40,87.6275510204082,106.25,64.5,125,60,27.5,60,19.2857142857143,28,30,8.5,60,30,70,50,55,40,97.5,30,NA,NA,NA,80,55
shamal,33.5,35.5,46.5,108.5,75.5,120,81,10,48.5,15,20,10,10,82.5,31,19.5833333333333,65,41,33.5,80.6666666666667,13.3333333333333,62.5,18.5714285714286,23.3571428571429,51.5,41
shiberghan,30.5,36,50,100,50,120,45,25,50,15,20,20,10,NA,20,60,NA,60,45,62.5,1.5,NA,13,18,NA,NA
sholgareh,28.5714285714286,36.734693877551,88.5416666666667,100,NA,107.916666666667,55.7291666666667,32.5,47.4489795918367,30,25,20,7,NA,NA,30,50,45,25,46.6666666666667,13.3333333333333,NA,NA,NA,NA,NA
shortepa,26,36.5,45,110,60,130,60,20,50,15,20,15,10,87.5,20,40,30,55,30,50,21.6666666666667,NA,10,10,70,46
spinboldak,31,38,78,110,140,95,95,18,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
surkhrod,34.375,35.3571428571429,38.125,107.5,95.5,120,92.5,11.5,49.5,15,23,12,6.75,90,30,57.5,50,61,37.5,51.5,11.5,120,10,10,60,40
taloqan,32.5,38,40,100,60.5,120,38,15,49.3,27.5,20,18.9285714285714,8.27777777777778,NA,20,50,50,64,40,65,13.3333333333333,100,NA,NA,55,NA
tani,40.5,37.5,35,112.5,100,132.5,85,15,50,20,29.5,10,7.91666666666667,105,50,55,57.5,100,50,62.5,11.6666666666667,47.5,10.75,11.675,105,45
yakawlang,36,36.5,77.5,106.5,69.5,134,69,12.5,55,40,31,17,7.5,81,40,50,45,60,25,67.5,20,170,12,18.5,60,50
zaranj,32,41.7,83.8571428571429,110,77.5,170,67.5,12,55,16,21.5,10,7,126,23.5,47.5,42.5,47.5,42.5,42.5,7.91666666666667,115,20,15,50,50
zindajan,30,40,70,95,60,127.5,50,20,54.5,20,15,8,6,110,20,40,35,45,21,50,13.3333333333333,100,8,6,65,35
