afg_dist,wheat_local_price_median,wheat_imported_price_median,local_rice_price_median,veg_oil_price_median,pulses_lentils_price_median,pulses_beans_price_median,pulses_split_peas_price_median,salt_price_median,sugar_price_median,tomatoes_price_median,potatoes_price_median,onions_price_median,eggs_price_median,cotton_cloth_price_median,toothbrush_adult_price_median,toothbrush_child_price_median,toothpaste_price_median,sanitary_pad_price_median,washing_detergent_price_median,soap_price_median,bleach_price_median,safe_water_price_median,jerrycan_price_median,firewood_price_median,kindling_price_median,fuel_gel_price_median,cooking_fuel_price_median
ghoryan,31.625,37,80,107.5,73.125,130,63.75,20,48,25,25,20,7,67.5,15,10,23,15,50,25,43.8333333333333,20,10,7.4,7.4,52.5,36.5
gosfandi,N/A,40,45,105,45,125,50,12.8571428571429,49,114,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25,17.5,N/A,N/A,40,N/A,N/A,50,N/A
gurbuz,38.5,38.5,45.5,113.75,50,115,87.5,52.5,48.8888888888889,50,41,37.5,8.6666666666666607,N/A,50,20,60,100,30,37.5,10,50,15,N/A,N/A,60,45
guzara,30,36,66,113.333333333333,70,130,68.75,18.3333333333333,50,30,30,22.5,7,110,20,10,50,30,60,25,45,13.3333333333333,5.5,9.1999999999999993,7.75,62.5,32
hirat,30,36,80,107,70,125,70,13.5,50,25,25,20,7,110,30,20,40,30,40,20,45,11,5,8.25,7.5,60,31.5
hisa_e_awal_e_kohestan,33,36,39,100,70,128,88,10,45,85,N/A,N/A,7.3333333333333304,N/A,20,20,50,N/A,45,30,60,7,N/A,N/A,N/A,N/A,N/A
hisa_e_duwum_e_kohestan,35,36,38,100,70,127,50,70,43,80,N/A,N/A,7.8333333333333304,N/A,20,12.5,40,N/A,50,22.5,62.5,7.9166666666666696,N/A,N/A,N/A,N/A,N/A
injil,30,36,72.5,105,60,127.5,67.5,10,50,30,30,22.5,6.8333333333333304,110,20,10,50,25,60,20,45,12.5,5.5,7.9166666666666696,12.5,60,31
jabalussaraj,35.5,38,47,94,60,136,84.5,20,50,29,25.5,14,10,N/A,22.5,15,40,N/A,25,30,70,6,N/A,N/A,N/A,N/A,N/A
jaji,N/A,48,45,90,80,75,80,25,50,45,45,50,10,N/A,20,20,50,25,70,50,16.6666666666667,N/A,N/A,11.4285714285714,N/A,70,35
jaji_maydan,40.816326530612201,40.700000000000003,115,126.5625,44.5,140,90,60,45,50,45,35,6.6666666666666696,100,80,50,75,10.6666666666667,30,23,10,N/A,100,N/A,N/A,35,45
jalalabad,35,38,38,102.3,87.5,130,77.5,11,45,50,40,35,10,100,20,15,40,40,50,30,50,10,20,10,N/A,38,39
janikhel_paktya,35.714285714285701,29.8571428571429,85,100,N/A,90,80,90,44,45,40,50,10,100,20,15,50,150,75,30,62.5,N/A,15,12.5,N/A,N/A,35
jorm,35,48.571428571428598,46.428571428571402,100,N/A,114.28571428571399,28.571428571428601,50,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
kabul,36,38,40,99,78,114,88.571428571428598,20,46,85,43,40,8.6666666666666696,N/A,30,20,60,40,50,30,52.5,40,12,N/A,N/A,N/A,44
karukh,31.625,40,80,108,50,100,47.5,10,50,57.5,28.75,25,6.6666666666666696,100,20,10,35,11.15,57.5,20,38,10,6.75,14.5,10,32.5,36
khoshi,35.5,37,43.5,100,100,92.5,41,10,50,32.5,32.5,21,6,N/A,20,12,35,N/A,35,32.5,60,20,60,N/A,N/A,72.5,40
kunduz,33.5,38,48.571428571428598,110,65,130,50,25,52.5,70,48.571428571428598,34.285714285714299,10,N/A,25,40,50,15,55,37.5,60,10.6666666666667,3.5,N/A,N/A,N/A,50
kushk,30,37,75,111.666666666667,45,127.5,57.5,34.5833333333333,50,40,30,25,8,N/A,25,20,40,N/A,50,25,60,20,11,7.5,8,50,35
kuz_kunar,35.5,38,34,108.9,92.5,130,75,20,45,45,35,20.5,10,N/A,27.5,20,50,N/A,50,30,65,10,N/A,N/A,N/A,N/A,40
lal_wa_sarjangal,N/A,N/A,N/A,90,70,110,50,20,55,80,25,N/A,8,75,25,25,25,N/A,53.3333333333333,40,46.6666666666667,N/A,N/A,N/A,N/A,N/A,N/A
lashkargah,40,42.9444444444444,85,103.95,64,130,41.5,10,43,30,30,31,6.25,82.5,20,10,55,13,20,20,70,52,7.125,8,7,60,35
mahmud_e_raqi,35,37,39,96,70,128,45,10,44,80,N/A,N/A,6.6666666666666696,N/A,20,15,40,N/A,50,30,50,14,N/A,N/A,N/A,N/A,N/A
mandozayi,40,40,45.8333333333333,100,62.5,114.28571428571399,85.714285714285694,50,44,50,40,35,6.6666666666666696,125,70,30,80,100,30,50,166.666666666667,20,10,17.5,61,45,35
matun_shahr,36.367346938775498,38,43.75,94.8125,100,130,90,50,45.714285714285701,55,48.928571428571402,41.428571428571402,10,65,20,20,50,20,50,45,50,8.75,7.5,12,20,60,40
maymana,36,36.357142857142797,50,115,95,102.5,90,20,60,100,50,30,N/A,N/A,40,20,27.5,N/A,50,32.5,110,N/A,N/A,N/A,N/A,N/A,N/A
mazar_e_sharif,29,36.6,42.857142857142897,100,60,120,40,35,46.571428571428598,N/A,N/A,N/A,9.1666666666666607,N/A,20,20,80,60,80,11,60,N/A,N/A,N/A,N/A,N/A,N/A
mehtarlam,35.5,38,33,98,36,125,85,7,45,41,31.5,22.5,10,N/A,25,20,45,N/A,15,32,60,20,N/A,12.1428571428571,N/A,N/A,38
miramor,N/A,40,130,90,82.5,130,50.625,16,60,N/A,28.571428571428601,75.714285714285694,N/A,70,40,20,80,150,55,60,N/A,N/A,N/A,N/A,N/A,N/A,57.5
mohammad_agha,35.5,37.5,35,90.5,71.5,109,44,14,47.5,45,32,20,7.5,72.5,22.5,19,20,55,40,25,70,20,26.125,12,12,50,40
muqur_badghis,N/A,N/A,95,133.65,35,92.5,40,25,60,55,37.5,30,7.5,N/A,25,10,35,150,20,20,N/A,13.3333333333333,N/A,N/A,N/A,55,N/A
