afg_dist,wheat_local_price_cr_median,wheat_imported_price_cr_median,local_rice_price_cr_median,veg_oil_price_cr_median,pulses_lentils_price_cr_median,pulses_beans_price_cr_median,pulses_split_peas_price_cr_median,salt_price_cr_median,sugar_price_cr_median,tomatoes_price_cr_median,potatoes_price_cr_median,onions_price_cr_median,eggs_price_cr_median,cotton_cloth_price_cr_median,toothbrush_adult_price_cr_median,toothpaste_price_cr_median,sanitary_pad_price_cr_median,washing_detergent_price_cr_median,soap_price_cr_median,bleach_price_cr_median,safe_water_price_cr_median,safe_water_price_20L_cr_median,firewood_price_cr_median,kindling_price_cr_median,cooking_fuel_price_cr_median,pulses_merged_price_final_cr_median
nawa_e_barakzaiy,37,41,81,102,51,131,44,10,55,15.5,22.5,12,8.16666666666667,140,32,48.5,45,42.5,32,62.5,17.5,350,8,9,33.5,44
nili,NA,35,84,93.75,74,120,60,20,55,20,21.4285714285714,20,7.5,80,30,80,55,50,37.5,100,25,800,15.7142857142857,17.5,60,60
onaba_anawa,32,34.5,40,93,60,105.5,70,13.5,50,15,20,12,7,80,20,30,60,57.5,25,55,17,480,14,14,57.5,60
paghman,34,35.5,87.5,85,91.4285714285714,100,88.5714285714286,20,52,21.4285714285714,20,11.7142857142857,6.5,95,20,40,50,50,30,50,10,200,15.3571428571429,16.3571428571429,53,81.4285714285714
pul_e_alam,30.6122448979592,34,85,90.3125,65.7142857142857,104.083333333333,80,19.2857142857143,50,14,20,10,6.16666666666667,120,20,40,52.5,52.5,28,50,12,380,12.25,11.9285714285714,55,65.7142857142857
pul_e_khumri,30,34,42.4285714285714,90,60,100,40,20,54,20,18,14,7,50,20,25,35,50,20,60,20,800,NA,NA,65,40
qadis,32,35,88,80,55,90,40,20,55,20,20,15,7,100,20,22.5,85,50,22.5,85,13.3333333333333,177.777777777778,10,12.6785714285714,57.5,40
qala_e_naw,26,35,70,80,45,110,40,12.5,50,20,20,20,7,60,10,20,30,50,18,50,10,200,12.8571428571429,15,53.5,40
qarabagh,31,33,40,90.5,62.5,110.5,75,16.5,50,20,19,15,6.5,80,20,40,18,52.5,27.5,60,14,300,14,13,55,62.5
qarghayi,32.6041666666667,33,33.5714285714286,84.5,52.8571428571429,97.8571428571429,40,10,50.7142857142857,18.5714285714286,20.7142857142857,10,8.5,85,20,50,NA,45,40,70,20,800,8.57142857142857,8.21428571428571,59,40
rukha,33,34.5,40,97,67.5,112,92.5,16.5,54,23,20,14,7,53.75,20,32.5,NA,65,30,60,17,480,NA,NA,60,67.5
sancharak,29,35,45,80,60,120,50,8,60,10,20,15,8,240,20,40,50,50,20,50,8,160,7,10,60,50
sar_e_pul,28,33,42,90,50,110,40,7,50,10,20,10,8,120,20,30,50,50,20,60,6,120,10,10,55,40
sayd_khel,30.5,33,41,90,50,100,80,19,50,14,18,11,7,70,20,25,34,60,30,60,12,480,NA,NA,60,50
sayed_karam,32.6530612244898,34,NA,95.625,NA,80,67.5,10,46,17.1428571428571,21.4285714285714,14.2857142857143,7.5,NA,60,100,NA,37.5,90,93.3333333333333,4,4,11.7857142857143,11.25,55.5,80
shahrestan,NA,35.5,91,93.75,69,110,59,20,60,17.5,23.2142857142857,20,7.5,60,35,70,60,50,40,100,30,1200,11.4285714285714,13.9285714285714,67.5,59
shibar,33,35,50,100,70,115,90,20,55,30,20,20,7,90,40,40,52.5,51,30,65,30,1200,NA,NA,66,70
shiberghan,30,32,50,80,50,115,50,10,53.5,25,25,20,7,240,20,50,47.5,50,25,60,9,180,8,8,60,50
sholgareh,31.1111111111111,33,48.5714285714286,80,61.4,114.4,34.8,25,55,17.5,20,17.1428571428571,6.5,NA,30,45,25,55,25,55,4.75,4.75,NA,NA,NA,36
shortepa,27,35,42.8571428571429,92,45,100,40,16.6666666666667,60,20,21.4285714285714,10,8,40,10,15,25,60,25,50,13.3333333333333,177.777777777778,8.57142857142857,8.57142857142857,70,40
spinboldak,27.75,29.8,71,71.5,52,103,67.5,9,44,14.5,12.5,9,5.75,50,32.5,62.5,42.5,45.5,17.5,27.5,4.25,4.25,11,8.5,50,52
surkhrod,32,33,37.5,81,65,110,80,14,47,17,21,13,7,100,22,39.1666666666667,50,55,30,50,10,200,11,12,50,45
surobi,31.5,33.5,50,96.5,60,110,87.5,20,50,20,20,11,6.5,70,30,35,50,42.5,30,55,20,800,NA,NA,60,60
taloqan,30,34,40,89,64,100,40,17,52,14,18,10,7.5,90,20,30,50,70,20,65,2.5,2.5,10,7.5,55,40
tirinkot,NA,28,50,78,NA,105,40,11,44,14.5,15,9,6,35,22.9166666666667,35,34.25,30,30,NA,20,800,13.75,NA,62.5,40
waras,NA,36,60,100,90,116.5,80,20,60,14,17,11.5,8,93.75,30,40,NA,60,35,60,10,200,15,17,65,80
yakawlang,28,32,77.5,96,50,101,74,11,54.5,10.8571428571429,17.5,14,7,140.5,31.5,33.5,43,70.5,26.5,67,17.5,550,12,18.5,59,50
zaranj,35.3,37,100,85.85,70,130,65,16,50,20,20,18,10,70,25,45,39,30,45,47.5,4.75,4.75,7.14285714285714,18,50,61.5
zindajan,29.5,35,80,82,52.5,117.5,40,10,54,20,15,15,8,62.5,27.5,72.5,42.5,47.5,30,55,13.3333333333333,177.777777777778,20.5,15,55,40
