afg_dist,wheat_local_price_cr_median,wheat_imported_price_cr_median,local_rice_price_cr_median,veg_oil_price_cr_median,pulses_lentils_price_cr_median,pulses_beans_price_cr_median,pulses_split_peas_price_cr_median,salt_price_cr_median,sugar_price_cr_median,tomatoes_price_cr_median,potatoes_price_cr_median,onions_price_cr_median,eggs_price_cr_median,cotton_cloth_price_cr_median,toothbrush_adult_price_cr_median,toothpaste_price_cr_median,sanitary_pad_price_cr_median,washing_detergent_price_cr_median,soap_price_cr_median,bleach_price_cr_median,safe_water_price_cr_median,safe_water_price_20L_cr_median,firewood_price_cr_median,kindling_price_cr_median,cooking_fuel_price_cr_median,pulses_merged_price_final_cr_median
hazrat_e_sultan,33.125,35.0510204081633,45,94,52.5,112.5,65,27.5,52.5,24,20,18,7.5,105,22.5,42.5,40,52.5,35,70,60,12,14,57.5,52.5,NA
hirat,28.25,35,65,72,48,115,70,10,45,20,15,15,7.33333333333333,45,18,45,30,60,22,35,90,19,25,46,48,NA
hisa_e_awal_e_kohestan,20,38.5,55,92.5,72.5,85,52.5,25,55,28.3333333333333,30,27.5,8,80,27.5,40,35,50,25,72.5,90,12.1428571428571,11.4285714285714,60,52.5,NA
hisa_e_duwum_e_kohestan,32,35,40,99,69,100,83.5,20,49,27.5,22.5,20,8,75,25,35,50,50,30,55,120,14.2857142857143,16.4285714285714,60,69,NA
injil,30.5,35.5,62.5,82.5,50,110,44,12,50,20,15,15.5,7.5,52.5,16.5,37.5,30,51.5,19,80,100,19,20.5,45,44,NA
jabalussaraj,32,34.5,40,98.5,80,102.5,87.5,17.5,48,20,20,15,7,56.25,22.5,35,50,50,25,53.5,40,NA,NA,56,80,NA
jaghuri,34,36,43,92.5,78,96.5,80,20,50,36,14,20,8,70,25,60,47.5,50,30,60,180,14,14,55,67,NA
jalalabad,32.6583333333333,34.6,39.5833333333333,88.5,55.7142857142857,95.7142857142857,73.9285714285714,15,48.5714285714286,23.3571428571429,19.2857142857143,20,7.66666666666667,122.5,25,52.5,55,55,25,60,100,9.64285714285714,13.9285714285714,52.5,55.7142857142857,NA
jorm,33.7142857142857,36.5,42.8571428571429,98.6666666666667,NA,84.2857142857143,39.2857142857143,25,55,30,14.2857142857143,14.2857142857143,10,NA,20,38,50,100,30,80,NA,8.57142857142857,11.4285714285714,65,82.1428571428571,NA
kabul,34.4,35,94,102,82.5,120,88,20,50,24.2857142857143,20,20,7.75,102.5,40,85,55,37.5,40,55,50,15,14.5,55,80,NA
kaldar,31,35,45.7142857142857,82,60,120,40,20,60,25,25,10,11,105,10,40,55,50,20,NA,60,10.7142857142857,NA,NA,40,NA
kandahar,32.3863636363636,38.5,74.5,106,75,115,69.5,10,47,30,24,11,9,52.5,50,70,60,50,35,40,50,12.5,13,50,69.5,NA
karukh,29,35,82.5,87,50,85,57.5,10,50,19,16.75,15,7,125,25,42.5,37.5,55,26,35.8333333333333,140,12.5,15,45,50,NA
khadir,28,38,NA,90.625,43.9285714285714,81.4285714285714,40,15,60,50,25,30,8,150,40,50,30,45,30,100,120,17.1428571428571,18.5714285714286,72.5,41.4285714285714,NA
khinj,32,35,50,100,64,108,80,20,50,23,25,20,8,80,20,40,31.5,55,30,60,100,16,14,65,64,NA
khoshi,32.2448979591837,35.5,83,92.375,60,105,82.8571428571429,20,50,17.8571428571429,20,17.1428571428571,7.83333333333333,NA,35,45,70,45,25,40,85,13.5714285714286,12.5,55,60,NA
kunduz,32.5,34.5,40,90,70,100,50,13.5,50,24.2857142857143,20,17.1428571428571,7.76666666666667,70,40,50,50,47.5,25,51.6666666666667,60,11.7857142857143,12.1428571428571,57.5,50,NA
kushk,28,34,70,85,50,112.5,45,10,50,20,13.5,11,7,70,25,50,35,45,30,62.5,100,17,20,45,45,NA
kuz_kunar,32.8125,34,33.6734693877551,75,46.4285714285714,103.571428571429,81.2244897959184,5.5,44.3571428571429,21.4285714285714,17.8571428571429,17.5,7,187.5,25,30,NA,27.5,25,50,90,10,9.64285714285714,49,46.4285714285714,NA
lal_wa_sarjangal,35,37.5,72.5,100,65,120,60,12.5,60,40,20,20,8,145,55,50,30,60,22.5,80,105,20,20,60,60,NA
lashkargah,31.5,35.5,57.5,93.5,42.5,128,52,7.5,53.5,12.5,21,12,6,141.5,30,34.5,38,30.5,25,53,82.5,6.5,10.5,50,42.5,NA
mahmud_e_raqi,35,39,60,100,70,100,70,25,55,16.6666666666667,30,25,8,NA,30,35,50,57.5,25,70,110,NA,NA,60,62,NA
malestan,35,38,50,95,60,95,50,25,55,30,20,20,7,85,30,40,47.5,50,25,65,180,NA,NA,55,50,NA
mandozayi,36,35,35,84.375,61.5217391304348,106.385869565217,76.0869565217391,9.28571428571428,43,25,21.4285714285714,21.4285714285714,6.66666666666667,62.5,20,40,65,34,65,60,255,14.8571428571429,8.57142857142857,50,61.5217391304348,NA
matun_shahr,36,35,36.6666666666667,83.4375,73.4782608695652,106.708333333333,75,9.64285714285714,43,22.8571428571429,19.2857142857143,19.2857142857143,6.83333333333333,60,20.4166666666667,40,50,28,60,65,245,13.7142857142857,8.21428571428571,49,73.4782608695652,NA
maydan_shahr,32,34,40,100,69,100,80,20,50,20,20,17.5,8,80,25,30,50,49,27.5,50,35,NA,NA,60,70,NA
maymana,31.1428571428571,34.3,40,89.5,80,100,50,21,55,25,20,15,9,112.5,42.5,77.5,62.5,50,40,80,52.5,15,16,60,50,NA
mazar_e_sharif,31,34,50,84.5,70,110,40,15,50,25,25,20,8,105,20,30,50,50,20,55,50,11.4285714285714,10.5,48,40,NA
mehtarlam,30.3,34.6,60,79,80,125,80,10,50,20,16.4285714285714,14.2857142857143,7.5,130,25,50,60,50,42.5,55,95,11.4285714285714,NA,55,80,NA
miramor,30,37,97.5,100,70,100,50,20,57,30,16.0714285714286,23.2142857142857,8,80,25,50,45,50,30,70,120,14.2857142857143,10.7142857142857,65,50,NA
mohammad_agha,32.5265306122449,35.6,78,98,60.7142857142857,103.571428571429,82.5,11.4285714285714,50,17.1428571428571,20,17.1428571428571,7.66666666666667,95,30,50,70,40,25,47.5,95,13.3928571428571,12.3214285714286,55,60.7142857142857,NA
muqur_badghis,25,35,87.6,90,35,95,35,20,52.5,25,17.5,15,8,80,22.5,45,NA,80,20,95,100,8,8.92857142857143,65,35,NA
nad_e_ali,29,35,97.5,79.5,85,119,100,10,50,20,16,14.5,9,132.5,22.5,25,45,40,30,39,110,11.5,18,50,85,NA
nahr_e_shahi,30,34,50,80,60,110,36,20,50,30,25,20,8,100,30,50,50,50,25,60,50,12.8571428571429,NA,50,36,NA
nahrin,40.7142857142857,38,41.7857142857143,99,NA,82.1428571428571,35.7142857142857,14.2857142857143,55,29.2857142857143,16.4285714285714,14.2857142857143,8,NA,25,40,35,50,17.5,60,145,5.71428571428571,14.2857142857143,NA,57.1428571428571,NA
nawa_e_barakzaiy,30,35,100,78,85,119,100,10,50,25,15,15,8,157.5,27.5,30,40,42.5,30,42.5,100,11.5,18,50,85,NA
nili,35,37,105,93.75,80,122.5,80,10,55,27.5,20,20,8,65,35,70,60,52.5,55,97.5,50,17.5714285714286,18.5714285714286,65,77.5,NA
onaba_anawa,25,29.5,67,97,70.5,105,70.5,20,49.5,24,25.5,23,7,NA,19,37.5,27.5,53,23,51.5,90,NA,NA,65,69.5,NA
paghman,34,36,45,100,75,107.142857142857,85,20,50,21.7857142857143,19.2857142857143,17.5,8,125,25,40,55,50,30,60,180,15,15,55,70,NA
pul_e_alam,33.430612244898,35.5,79.1666666666667,87.5,74.2857142857143,107.142857142857,81.4285714285714,20,49.2857142857143,15.3571428571429,18.5714285714286,13.9285714285714,8,110,20,80,70,40,25,50,105,13.3928571428571,12.1428571428571,55,74.2857142857143,NA
pul_e_khumri,32.9591836734694,35.7142857142857,42.8571428571429,105,62.1428571428571,87.8571428571429,44.2857142857143,23.75,55,31.4285714285714,18.5714285714286,14.2857142857143,8,NA,20,30,40,80,25,70,110,NA,NA,NA,42.8571428571429,NA
qadis,36.8,26,95.1,80,52.5,80,61,20,57.5,20,20,15,8,112.5,15,15,22.5,50,15,36.8333333333333,110,8,11.4285714285714,60,50,NA
qala_e_naw,30,36.4,85,80,45,90,40,10,50,30,25,17,9,40,10,15,30,52.5,20,50,87.5,11.0714285714286,10.7142857142857,50,40,NA
qarabagh,31,34,40,94,67,105,75,20,46,22.5,20,14,8,77.5,20,30,25,50,25,50,95,15,17,65,66,NA
qarghayi,NA,35,33.2142857142857,80,79.2857142857143,112.857142857143,75.3571428571429,13.3333333333333,48.5714285714286,21.0714285714286,17.1428571428571,17.1428571428571,8,152.5,30,35,52.5,60,32.5,55,100,8.92857142857143,NA,60,75.3571428571429,NA
rukha,34.5,36,45,98.5,61,96,70,23.5,53.5,32.5,20,20,8,75,32.5,40,45,55,30,60,180,NA,NA,61,61,NA
sancharak,25,38,50,100,60,120,45,10,50,15,20,15,10,120,20,40,50,50,20,60,90,8,8,60,45,NA
sang_e_takht,NA,37,NA,100,31,86,NA,20,60,40,13,13,7,80,20,40,80,50,30,70,110,14,NA,80,31,NA
sar_e_pul,28,34,45,95,50,110,40,7,46,15,20,15,8,240,20,45,30,43,20,60,80,8,9,55,40,NA
sayd_khel,32,34,38,100,65,90,78,18,50,20,17.5,12,8,65,27.5,30,50,50,30,55,NA,NA,NA,57,65,NA
sayed_karam,34.5,36.3,70.25,100.625,85.7142857142857,81.4285714285714,61.4285714285714,10,50,23.2142857142857,20.7142857142857,17.1428571428571,10,28.75,30,95,67.5,62.5,50,140,85,15.7142857142857,19.2857142857143,65,61.4285714285714,NA
shahrestan,35.8,37,95.5,86.875,75,123.5,72.5,15,62.5,30,19,20,8,65,32.5,80,70,50,50,110,100,19,22,67.5,62.5,NA
shibar,35,37,50,90,70,110,80,20,50,27.5,20,20,7,NA,30,30,45,50,25,60,180,NA,NA,65,70,NA
shiberghan,30,32.5,42.8571428571429,79,55,105,38,11.5,50,20,20,20,7.5,115,30,44,50,49,27.5,59,70,12.5,14.5,50,39,NA
sholgareh,28,35,50,74.5,100,110,40,20,52.5,25,25.7142857142857,12.8571428571429,8,100,35,20,NA,50,20,NA,180,NA,NA,52.5,42.5,NA
shortepa,29,34,47.5,86.5,50,115,50,15,52.5,25,21.5,10,10,120,15,40,NA,40,20,NA,60,8,NA,38,80,NA
spinboldak,31.5909090909091,38.3,73,108,68,122.5,67.5,16.5,46,30,23,12,8.5,47.5,50,70,67.5,50,37.5,39,50,14.5,15,45.5,67.5,NA
surkhrod,34.1666666666667,35,38.75,90,50,105,70,20,48,19,18.5714285714286,15.7142857142857,7,110,30,45,50,55,40,55,70,12,13.5,55,50,NA
surobi,34.5,36,40,100,65,100,65,22.5,55,27.5,20,20,7,65,27.5,42.5,47.5,55,30,65,180,NA,NA,57.5,65,NA
taloqan,31,35,41,92,56.1428571428571,99,42,14,50,24,18,14.2857142857143,8,50,25,35,55,70,25,70,50,8.21428571428571,15,55,42,NA
tirinkot,35.6666666666667,41.6666666666667,74,80,44.4444444444444,84.4444444444444,84,9,48.8888888888889,20,18.8888888888889,10.4444444444444,8,100,30,50,35,37.5,16.5,100,180,12.25,12,55,43.3333333333333,NA
waras,25,30,90,95,65,100,50,17.1428571428571,50,25,15,20,8,57.5,20,30,25,50,20,50,120,11.0714285714286,13.5714285714286,65,50,NA
yakawlang,28,34,49,89,47,113,66.5,18.5,55,10.3571428571429,13,13,8,140,25,27.5,42.5,75,22.5,65,175,13.5,17,62.5,47,NA
zaranj,34.9,38.75,97.5,77.5,67.5,126.5,67.5,13.5,50,25,25,22,8,103.75,40,60,45,35,67.5,33.3333333333333,72.5,8.57142857142857,11.7857142857143,56,65,NA
zindajan,30,35,61.5,70,65,112.5,57.5,10,41,20,19,15,7,35,25,45,30,45,16.5,32.5,100,20,22,47.5,57.5,NA
